Group,Bowler,Bowler ID,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Runs Per Over,Five Wickets in an Innings,Ten Wickets in a Match,Best Bowling in an Innings,Best Bowling in a Match,Balls,Dots,Fours,Sixes,Wides,No Balls,Strike Rate
Belfast Superkings 2nd XI,Saravana Chandrasekaran,1fd15d50-8833-41bb-b4c1-349f2ed2654e,1,1,4,0,29,1,29.00,7.25,0,0,1-29,1-29,24,12,2,1,6 (6),0 (0),24.00
Belfast Superkings 2nd XI,Dino James,ace8d3aa-15b6-4528-83f6-2846d3d8c72b,1,1,4,0,29,1,29.00,7.25,0,0,1-29,1-29,24,12,2,2,0 (0),0 (0),24.00
Belfast Superkings 2nd XI,Ricky Lavakumar,029f16f7-0e06-489e-99d2-9d0f79e47f52,1,1,1,0,23,1,23.00,23.00,0,0,1-23,1-23,6,2,0,2,2 (6),2 (8),6.00
Belfast Superkings 2nd XI,Manish Kapoor,ced85104-9eed-44be-b2b7-2663375be253,1,1,4,1,8,4,2.00,2.00,0,0,4-8,4-8,24,19,0,0,3 (3),0 (0),6.00
Belfast Superkings 2nd XI,Ismail Mohamed,49f146b4-c048-4409-a1f4-0810466babf3,1,1,4,0,23,1,23.00,5.75,0,0,1-23,1-23,24,21,2,1,4 (8),0 (0),24.00
Belfast Superkings 2nd XI,Balaji Rajasekaran,88a27506-4c0b-4ee0-8578-4cab967cd10c,1,1,2,0,37,0,,18.50,0,0,0-37,0-37,12,3,2,3,6 (7),0 (0),
Belfast Superkings 2nd XI,Khalid Saeed,30a903e1-5f52-4249-802a-a63e2a052a3f,1,1,1,0,15,0,,15.00,0,0,0-15,0-15,6,1,1,1,2 (2),0 (0),
Belfast Superkings 3rd XI,Aravind Geetha,690c6973-b204-487f-935b-56d7d4935f4c,1,1,1,0,3,0,,3.00,0,0,0-3,0-3,6,5,0,0,2 (2),0 (0),
Belfast Superkings 3rd XI,Selvaraj Jeyaprakash,fdb73d10-e624-4a4a-b84f-cb5249fb552e,1,1,1.5,0,20,0,,10.91,0,0,0-20,0-20,11,5,3,1,0 (0),0 (0),
Belfast Superkings 3rd XI,Udit Pant,7ac98db5-8cba-40dd-9d38-0807d4db1b3f,1,1,1,0,18,0,,18.00,0,0,0-18,0-18,6,1,2,1,1 (1),0 (0),
Belfast Superkings 3rd XI,Senthilkumar Ponnuchamy,6e99f10d-3907-4130-8b05-7e0ed61fad26,1,1,3,0,45,1,45.00,15.00,0,0,1-45,1-45,18,4,2,3,7 (10),0 (0),18.00
Belfast Superkings 3rd XI,Saravanan Renganathan,a0568bc6-73b9-49d8-80b8-0201c3c93ee8,1,1,1,0,14,0,,14.00,0,0,0-14,0-14,6,3,2,1,0 (0),0 (0),
Belfast Superkings 3rd XI,Suseelraj Selvaraj,b6cfe80c-43ca-487d-bbd4-7635b5787f27,1,1,3,0,43,0,,14.33,0,0,0-43,0-43,18,8,3,3,6 (7),1 (5),
Belfast Superkings 3rd XI,Muthukaruppan Paganeri,f632ac4f-5ce9-4986-951d-36ecdc5e7ccc,1,1,1,0,5,1,5.00,5.00,0,0,1-5,1-5,6,4,1,0,0 (0),0 (0),6.00
Belfast Superkings 3rd XI,Mathew Anthony Thyagaraj,b29b52ea-191d-428b-b1e2-b544ff0f4fc8,1,1,2,0,11,1,11.00,5.50,0,0,1-11,1-11,12,8,0,1,1 (1),0 (0),12.00
Belfast Superkings 3rd XI,Praveen Vijayakumar,70e32253-df43-46b3-bff7-eb97c0eefb5c,1,1,1,0,11,1,11.00,11.00,0,0,1-11,1-11,6,3,1,1,0 (0),0 (0),6.00
