Group,Bowler,Bowler ID,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Runs Per Over,Five Wickets in an Innings,Ten Wickets in a Match,Best Bowling in an Innings,Best Bowling in a Match,Balls,Dots,Fours,Sixes,Wides,No Balls,Strike Rate
Dunmurry 3rd XI,Syed Abdullah,3a7282ad-b3cf-467c-b3bf-4456d6e9deac,1,1,5,0,30,1,30.00,6.00,0,0,1-30,1-30,30,21,3,1,7 (7),0 (0),30.00
Dunmurry 3rd XI,Jagadish Babu Adusumalli,bc9d92d3-13ab-4344-b574-7308ff7ef6cd,1,1,6,1,34,4,8.50,5.67,0,0,4-34,4-34,36,25,1,2,8 (9),0 (0),9.00
Dunmurry 3rd XI,Srikanth Bommaraveni,a6439d73-d6e2-460c-b6a3-7b64ae872765,1,1,2,1,8,0,,4.00,0,0,0-8,0-8,12,10,2,0,0 (0),0 (0),
Dunmurry 3rd XI,Veera Pasupuleti,1e9b4e21-6d1e-4f57-be3c-8e6ad2138bbe,1,1,4.5,0,30,1,30.00,6.21,0,0,1-30,1-30,29,14,0,2,2 (2),0 (0),29.00
Dunmurry 3rd XI,Manjunath Prabhudeva,cf7a7c1b-a66d-4aa3-bd04-4e245e6688cc,1,1,2,0,26,0,,13.00,0,0,0-26,0-26,12,4,2,1,0 (0),2 (8),
Dunmurry 3rd XI,Muhammad Tayyab,c6cc1cbf-e2b7-4b71-bb09-94f478ae31a9,1,1,2,0,5,1,5.00,2.50,0,0,1-5,1-5,12,8,0,0,1 (1),0 (0),12.00
Dunmurry 3rd XI,Muralitharan Vimalenthiran,fe25f5df-3a26-4878-a186-aa6bd3775fa7,1,1,2,0,18,1,18.00,9.00,0,0,1-18,1-18,12,8,2,0,8 (8),0 (0),12.00
Dunmurry 4th XI,Divyanshu Chugh,45e0b3da-8b9f-4c30-b0ad-181e47234ce8,1,1,3,0,15,0,,5.00,0,0,0-15,0-15,18,12,0,0,6 (6),1 (1),
Dunmurry 4th XI,Sandip Gite,0e604467-b0e8-4e32-8dd1-d6c78acb1cb7,1,1,6,0,24,1,24.00,4.00,0,0,1-24,1-24,36,23,0,1,3 (4),1 (7),36.00
Dunmurry 4th XI,Vasudev Vinayak Guttal,d6de53b2-2bb3-46e1-a2c2-18d3aec18574,1,1,3,0,20,3,6.67,6.67,0,0,3-20,3-20,18,12,1,1,2 (4),1 (2),6.00
Dunmurry 4th XI,Tejas Jadhav,654f118f-42ef-495a-9247-bcacd7bec913,1,1,5,0,21,1,21.00,4.20,0,0,1-21,1-21,30,22,2,0,6 (6),0 (0),30.00
Dunmurry 4th XI,Sanket Jagadale,20ce2abe-b284-493c-8c5b-209b9e0b089d,1,1,3,1,12,2,6.00,4.00,0,0,2-12,2-12,18,15,1,0,5 (5),0 (0),9.00
Dunmurry 4th XI,Sairam Kondapally,d2bf4e17-847a-457a-b3e7-710a041a27e6,1,1,2,0,17,0,,8.50,0,0,0-17,0-17,12,5,2,0,2 (2),0 (0),
Dunmurry 4th XI,Achal Mihani,743c317b-616f-4da1-8367-f99d2295968e,1,1,5,0,19,2,9.50,3.80,0,0,2-19,2-19,30,27,1,0,12 (12),0 (0),15.00
Dunmurry 4th XI,Ajit Uchale,86819e9f-f9b3-44b0-98a1-f4a639f5bcf7,1,1,3,0,20,0,,6.67,0,0,0-20,0-20,18,8,1,1,1 (1),0 (0),
