Group,Bowler,Bowler ID,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Runs Per Over,Five Wickets in an Innings,Ten Wickets in a Match,Best Bowling in an Innings,Best Bowling in a Match,Balls,Dots,Fours,Sixes,Wides,No Balls,Strike Rate
Instonians 3rd XI,Reuben Edmondson,14160d99-62c0-488b-a6f1-0070ad938536,1,1,5,0,38,0,,7.60,0,0,0-38,0-38,30,14,4,0,2 (2),0 (0),
Instonians 3rd XI,Robbie Moore,5a8b0b6e-f863-4ca8-a447-acb4088e4f94,1,1,4,0,24,3,8.00,6.00,0,0,3-24,3-24,24,13,3,0,2 (2),0 (0),8.00
Instonians 3rd XI,Sarav Palaniappan,68f5bd93-c7a6-4a17-903a-c044a996a959,1,1,2,0,18,1,18.00,9.00,0,0,1-18,1-18,12,6,2,0,3 (5),0 (0),12.00
Instonians 3rd XI,Freddie Robinson,9ea4932b-398c-4e9e-a843-26b03ee23502,1,1,3,0,31,2,15.50,10.33,0,0,2-31,2-31,18,10,1,1,11 (13),0 (0),9.00
Instonians 3rd XI,Pranav Saran,35d4db75-97dc-4be1-8c41-9c71b134812d,1,1,4,0,28,0,,7.00,0,0,0-28,0-28,24,9,1,1,4 (5),0 (0),
Instonians 3rd XI,James Welshman,92d9a7fa-50b0-4e39-a101-585d15e7b9a8,1,1,1,0,3,1,3.00,3.00,0,0,1-3,1-3,6,5,0,0,2 (2),0 (0),6.00
Instonians 3rd XI,Cameron Wilson,0ee1ae7d-8e47-47e8-a6b2-40d69f387c35,1,1,2,0,30,0,,15.00,0,0,0-30,0-30,12,5,1,4,0 (0),0 (0),
Instonians 4th XI,Graham Higgin,95d70641-c642-4b1d-a267-1fa2963e5d46,1,1,5,0,29,2,14.50,5.80,0,0,2-29,2-29,30,15,2,1,0 (0),0 (0),15.00
Instonians 4th XI,Pallav Saran,2fc67215-3dd6-4187-b6c4-09a22a77ea6c,1,1,2,0,16,1,16.00,8.00,0,0,1-16,1-16,12,7,1,1,0 (0),0 (0),12.00
Instonians 4th XI,Ethan Walker,2d5c4723-e185-498a-a9ea-2a376c044c7c,1,1,5,0,50,0,,10.00,0,0,0-50,0-50,30,10,5,1,3 (3),0 (0),
Instonians 4th XI,Dylan Weir,dc12ca03-1d67-4787-b201-a88395ba5a28,1,1,5,0,31,2,15.50,6.20,0,0,2-31,2-31,30,16,0,1,4 (9),0 (0),15.00
Instonians 4th XI,Cameron Williams,2f39625c-b9ab-45e7-ab25-4a219ce6482c,1,1,4,0,36,0,,9.00,0,0,0-36,0-36,24,11,4,1,4 (4),0 (0),
Instonians 4th XI,Rowan Woods,7933a685-9d47-4903-932d-0d6f57b19d84,1,1,4,0,15,1,15.00,3.75,0,0,1-15,1-15,24,17,1,0,3 (4),0 (0),24.00
