Group,Bowler,Bowler ID,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Runs Per Over,Five Wickets in an Innings,Ten Wickets in a Match,Best Bowling in an Innings,Best Bowling in a Match,Balls,Dots,Fours,Sixes,Wides,No Balls,Strike Rate
Instonians 3rd XI,Sam Bleakley,d8b1a207-4f48-4fe9-b208-854d7fcbc493,1,1,5,0,15,2,7.50,3.00,0,0,2-15,2-15,30,19,1,0,0 (0),0 (0),15.00
Instonians 3rd XI,Paddy Carson,3f4ede2e-6e20-4c12-9919-77e685b9ad94,1,1,3,0,25,0,,8.33,0,0,0-25,0-25,18,13,1,0,12 (15),0 (0),
Instonians 3rd XI,Vidhath Geddam,62c88419-5ccc-42a3-a493-d3beb2f39908,1,1,1,0,12,0,,12.00,0,0,0-12,0-12,6,4,1,0,4 (5),1 (5),
Instonians 3rd XI,David Millar,22a50c97-a313-428b-aaf2-2bdcd734c64d,1,1,5,0,19,2,9.50,3.80,0,0,2-19,2-19,30,25,2,0,5 (7),1 (1),15.00
Instonians 3rd XI,Robbie Moore,5a8b0b6e-f863-4ca8-a447-acb4088e4f94,1,1,2,0,16,1,16.00,8.00,0,0,1-16,1-16,12,6,3,0,1 (1),0 (0),12.00
Instonians 3rd XI,Sarav Palaniappan,68f5bd93-c7a6-4a17-903a-c044a996a959,1,1,2,0,15,0,,7.50,0,0,0-15,0-15,12,7,2,0,4 (4),0 (0),
Instonians 3rd XI,Hugo Robinson,67f98c33-306b-41a1-bae6-ff981c52750e,1,1,3.2,0,16,2,8.00,4.80,0,0,2-16,2-16,20,11,0,0,2 (2),1 (3),10.00
Instonians 3rd XI,Hridhaan Salian,b6953a85-1aa6-4e1a-92b7-541d490a26d2,1,1,6,0,40,2,20.00,6.67,0,0,2-40,2-40,36,21,2,0,5 (15),0 (0),18.00
Instonians 4th XI,Graham Higgin,95d70641-c642-4b1d-a267-1fa2963e5d46,1,1,6,0,31,5,6.20,5.17,1,0,5-31,5-31,36,20,1,1,3 (4),0 (0),7.20
Instonians 4th XI,Richard McKibbin,a619ea40-9c34-4447-bfaa-0a90d3b5b1ad,1,1,6,0,29,3,9.67,4.83,0,0,3-29,3-29,36,18,2,0,1 (1),0 (0),12.00
Instonians 4th XI,Freddie Robinson,9ea4932b-398c-4e9e-a843-26b03ee23502,1,1,3,0,22,1,22.00,7.33,0,0,1-22,1-22,18,12,2,0,3 (9),0 (0),18.00
Instonians 4th XI,Ethan Walker,2d5c4723-e185-498a-a9ea-2a376c044c7c,1,1,3,0,30,0,,10.00,0,0,0-30,0-30,18,7,1,2,3 (3),0 (0),
Instonians 4th XI,Dylan Weir,dc12ca03-1d67-4787-b201-a88395ba5a28,1,1,3,0,33,0,,11.00,0,0,0-33,0-33,18,7,2,0,11 (13),0 (0),
Instonians 4th XI,Cameron Williams,2f39625c-b9ab-45e7-ab25-4a219ce6482c,1,1,2.3,0,24,1,24.00,9.60,0,0,1-24,1-24,15,5,2,1,1 (1),0 (0),15.00
Instonians 4th XI,Rowan Woods,7933a685-9d47-4903-932d-0d6f57b19d84,1,1,5,0,34,0,,6.80,0,0,0-34,0-34,30,19,5,0,5 (7),0 (0),
