Group,Bowler,Bowler ID,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Runs Per Over,Five Wickets in an Innings,Ten Wickets in a Match,Best Bowling in an Innings,Best Bowling in a Match,Balls,Dots,Fours,Sixes,Wides,No Balls,Strike Rate
Lisburn 3rd XI,Neil Anderson,596149ad-df29-4420-b109-d2adc5fb1d45,1,1,2,0,18,0,,9.00,0,0,0-18,0-18,12,4,2,0,2 (3),0 (0),
Lisburn 3rd XI,Simon Caddell,23dfdf4d-e236-41b1-9596-76a0d7831564,1,1,5,0,36,1,36.00,7.20,0,0,1-36,1-36,30,15,6,0,2 (2),0 (0),30.00
Lisburn 3rd XI,Ian Glass,bbb74b8f-c9bd-4394-bb8f-1ab44934f881,1,1,3,0,20,0,,6.67,0,0,0-20,0-20,18,10,2,0,6 (6),0 (0),
Lisburn 3rd XI,Curtis Harland,7761f715-3c59-4173-b09e-7c719f81863d,1,1,3,0,22,0,,7.33,0,0,0-22,0-22,18,8,2,0,1 (1),0 (0),
Lisburn 3rd XI,Jack Martelli,6bf19a74-6f9e-4916-8ac1-87f08c394016,1,1,5.3,0,48,1,48.00,8.73,0,0,1-48,1-48,33,11,3,3,0 (0),0 (0),33.00
Lisburn 3rd XI,Stuart McAllister,8f1b52e8-0eec-4b5c-b52d-add1cfbb3221,1,1,3,0,19,0,,6.33,0,0,0-19,0-19,18,7,1,0,2 (2),0 (0),
Lisburn 3rd XI,Harry Walker,0a8d7793-2950-48fa-8033-1cbf694088c9,1,1,8,0,66,1,66.00,8.25,0,0,1-66,1-66,48,23,4,4,4 (4),0 (0),48.00
Lisburn 3rd XI,Carl Williams,82aa7a35-4b1b-4dda-a6de-facaa500f7f3,1,1,8,0,49,0,,6.13,0,0,0-49,0-49,48,13,2,0,0 (0),0 (0),
Lisburn 4th XI,Evan Gawley,79a5fabf-f2e3-4864-9014-a9a5d9971c38,1,1,6,0,46,0,,7.67,0,0,0-46,0-46,36,21,4,0,8 (9),6 (11),
Lisburn 4th XI,Lakhsya Kumar,78cac2f8-d93c-4207-8428-0d506b932754,1,1,8,0,55,0,,6.88,0,0,0-55,0-55,48,22,5,1,0 (0),0 (0),
Lisburn 4th XI,Alexander Magee,375543dd-94af-42a1-99d7-4a445d886b6d,1,1,2,0,20,0,,10.00,0,0,0-20,0-20,12,3,1,0,5 (6),1 (2),
Lisburn 4th XI,Ben Magee,1ee6b7fc-1a12-477a-a635-79bd4a2f761a,1,1,8,0,60,1,60.00,7.50,0,0,1-60,1-60,48,27,4,0,12 (12),0 (0),48.00
Lisburn 4th XI,Harry Parr,2e4cf2ac-f60a-4771-8db6-4a76dc0746d5,1,1,8,0,43,0,,5.38,0,0,0-43,0-43,48,30,6,0,1 (1),0 (0),
Lisburn 4th XI,Ekambar Reddy,a00ba906-ede6-4d55-a2c7-20104b13b40c,1,1,8,0,54,2,27.00,6.75,0,0,2-54,2-54,48,24,6,0,4 (4),1 (2),24.00
